Entrez_Gene_Id	Tumor_Sample_Barcode
10410	TCGA-02-0070-01A-01W-0318-08
10446	TCGA-02-0043-01A-01W
10576	TCGA-02-0099-01A-01W
10612	TCGA-02-0083-01A-01W-0206-08
10677	TCGA-02-0114-01A-01W-0206-08
10683	TCGA-06-0169-01A-01W
10752	TCGA-02-0084-01A-01W-0323-08
10752	TCGA-02-0114-01A-01W-0206-08
11098	TCGA-02-0083-01A-01W
11200	TCGA-02-0069-01A-01W-0206-08
11200	TCGA-02-0075-01A-01W-0206-08
11200	TCGA-02-0115-01A-01W-0206-08
11200	TCGA-06-0209-01A-01W-0254-08
11200	TCGA-02-0084-01A-01W-0323-08
11202	TCGA-02-0028-01A-01W-0189-08
11213	TCGA-02-0085-01A-01W-0206-08
11217	TCGA-06-0210-01A-01W-0254-08
11217	TCGA-02-0025-01A-01W-0318-08
11328	TCGA-02-0023-01B-01W-0318-08
11328	TCGA-02-0048-01A-01W-0318-08
11328	TCGA-02-0070-01A-01W-0318-08
11328	TCGA-08-0245-01A-01W-0318-08
11328	TCGA-08-0386-01A-01W-0323-08
11328	TCGA-12-0616-01A-01W-0323-08
23037	TCGA-02-0014-01A-01W-0189-08
23161	TCGA-02-0083-01A-01W
23162	TCGA-06-0139-01A-01W-0224-08
23235	TCGA-02-0114-01A-01W-0206-08
23235	TCGA-06-0176-01A-02W-0254-08
23239	TCGA-06-0176-01A-02W-0254-08
23345	TCGA-02-0099-01A-01W
23345	TCGA-02-0083-01A-01W
23345	TCGA-02-0010-01A-01W
23345	TCGA-06-0178-01A-01W
23345	TCGA-02-0028-01A-01W
23345	TCGA-02-0014-01A-01W
23345	TCGA-02-0043-01A-01W
23522	TCGA-02-0114-01A-01W-0206-08
23522	TCGA-02-0015-01A-01W-0318-08
23522	TCGA-02-0043-01A-01W-0189-08
23532	TCGA-02-0068-01A-01W
23532	TCGA-08-0353-01A-01W
23532	TCGA-12-0619-01A-01W
23542	TCGA-06-0176-01A-02W-0254-08
23592	TCGA-02-0114-01A-01W
23592	TCGA-02-0010-01A-01W
23786	TCGA-02-0083-01A-01W
25803	TCGA-06-0154-01A-02W-0254-08
25865	TCGA-02-0080-01A-01W-0206-08
26019	TCGA-02-0083-01A-01W-0206-08
26019	TCGA-02-0084-01A-01W-0323-08
29110	TCGA-02-0114-01A-01W-0206-08
29922	TCGA-02-0010-01A-01W
29997	TCGA-08-0357-01A-01W-0318-08
51050	TCGA-02-0080-01A-01W-0206-08
51050	TCGA-02-0010-01A-01W-0189-08
51147	TCGA-02-0083-01A-01W-0206-08
51147	TCGA-02-0114-01A-01W-0206-08
51347	TCGA-02-0075-01A-01W-0206-08
51592	TCGA-02-0010-01A-01W-0189-08
51643	TCGA-02-0014-01A-01W
53335	TCGA-06-0176-01A-02W-0254-08
53335	TCGA-06-0133-01A-02W-0224-08
53335	TCGA-02-0015-01A-01W-0318-08
53335	TCGA-02-0083-01A-01W-0206-08
53335	TCGA-02-0028-01A-01W-0189-08
53904	TCGA-02-0055-01A-01W-0189-08
54518	TCGA-06-0154-01A-02W-0254-08
54586	TCGA-02-0083-01A-01W
54828	TCGA-02-0083-01A-01W
54828	TCGA-02-0043-01A-01W
55224	TCGA-06-0190-01A-01W-0254-08
55294	TCGA-02-0028-01A-01W-0189-08
55294	TCGA-02-0010-01A-01W
55294	TCGA-02-0010-01A-01W-0189-08
55526	TCGA-02-0114-01A-01W-0206-08
55698	TCGA-06-0137-01A-01W-0224-08
55698	TCGA-06-0157-01A-01W-0254-08
55763	TCGA-02-0114-01A-01W
55811	TCGA-06-0157-01A-01W-0254-08
55811	TCGA-12-0616-01A-01W-0323-08
55832	TCGA-02-0070-01A-01W-0318-08
57037	TCGA-08-0345-01A-01W
57144	TCGA-02-0010-01A-01W
57188	TCGA-02-0048-01A-01W
57188	TCGA-02-0083-01A-01W
57188	TCGA-02-0028-01A-01W
57634	TCGA-02-0114-01A-01W
57634	TCGA-02-0083-01A-01W
57689	TCGA-02-0116-01A-01W
57724	TCGA-02-0083-01A-01W
57787	TCGA-02-0015-01A-01W
57787	TCGA-06-0147-01A-02W
58524	TCGA-08-0353-01A-01W-0318-08
60561	TCGA-02-0083-01A-01W
